obs	x	y
1	6.6616432	0.0552251
2	9.2302004	0.1760370
3	4.0615392	-0.3214773
4	7.1195897	0.0463961
5	-0.1106749	-0.0558713
6	12.1587579	0.0832739
7	2.1750810	0.1483621
8	2.7808878	0.1065837
9	4.0168557	-0.1805941
10	-0.9587353	-0.0340025
11	4.6557897	-0.2136388
12	3.7349557	0.0255035
13	10.8553658	-0.1696563
14	12.3983568	0.0588138
15	9.3052703	-0.0825679
16	6.9289883	0.0589111
17	9.7665110	-0.1329516
18	4.2539805	-0.1990830
19	6.9575421	-0.0231799
20	6.9290152	-0.0014518
21	9.4075507	-0.1330546
22	4.2119423	-0.3227690
23	3.1425184	0.0601402
24	-0.2332058	-0.1279984
25	1.0551741	0.3024759
26	2.1004403	0.1698829
27	1.8342272	0.2678588
28	-0.7542029	-0.3873169
29	12.2028159	-0.1168426
30	5.1719014	-0.1116724
31	4.7592026	-0.2543474
32	5.7829347	0.0534414
33	6.6666300	0.2009630
34	-0.3595253	-0.0206845
35	2.5862035	0.0386309
36	9.4517939	-0.1589133
37	-0.9623110	-0.2167386
38	7.4496330	0.1298627
39	6.9220898	0.0445869
40	7.2439282	0.0460851
41	12.6628471	0.0413604
42	1.0091445	0.2113339
43	4.9972604	-0.0707774
44	4.2625095	0.0350469
45	4.5777284	-0.2286128
46	8.2276103	0.1534100
47	0.4858534	0.0503818
48	6.2263939	0.0252161
49	2.9445859	-0.0391568
50	2.2291485	0.2859421
51	6.3062325	-0.0509185
52	2.5965787	0.1941883
53	4.3024480	-0.3030054
54	5.7643441	-0.0668437
55	3.5861766	-0.1536188
56	12.6789706	0.0141066
57	1.9876601	0.2139648
58	2.1327945	0.2761671
59	7.0710028	-0.0254807
60	2.0015643	0.1785626
61	3.7938992	0.0044532
62	3.2501853	-0.0173940
63	4.7888268	-0.1132454
64	9.7383591	-0.0664728
65	10.9324949	0.0424093
66	-0.9787575	-0.2448631
67	12.9364356	-0.0336355
68	-0.4433992	-0.2587135
69	11.8419637	-0.1261326
70	6.0993512	-0.0695224
71	11.1438858	0.0267753
72	5.8530592	-0.0127589
73	3.9721890	-0.2403898
74	5.5409596	-0.2944991
75	4.5423376	-0.2493708
76	5.6828144	-0.1616159
77	11.6896404	0.0830097
78	2.0882737	0.3716400
79	0.3737191	0.1139850
80	12.5210717	-0.0436813
81	5.1880460	-0.1214282
82	8.4560697	0.1815004
83	6.2437972	0.0979518
84	0.5859844	0.2157788
85	2.2057043	0.2289644
86	4.7661925	-0.0422267
87	11.1309025	-0.3171281
